train_step_acc,train_step_loss,step,epoch,val_step_acc,val_step_loss
0.39052173495292664,1.0754021406173706,19,0,,
0.5090434551239014,1.0388191938400269,39,1,,
,,49,2,0.50390625,1.239092230796814
0.5210434794425964,1.0238088369369507,59,2,,
0.5311304330825806,1.0109471082687378,79,3,,
,,99,4,0.5551470518112183,1.1762186288833618
0.5246086716651917,1.0287879705429077,99,4,,
0.5466086864471436,1.0142114162445068,119,5,,
0.5551304221153259,0.994821310043335,139,6,,
,,149,7,0.53125,1.1497981548309326
0.5539130568504333,1.0147895812988281,159,7,,
0.5638260841369629,0.9710804224014282,179,8,,
,,199,9,0.529411792755127,1.146427035331726
0.5660869479179382,0.9564993381500244,199,9,,
